fecha,temp_prom,temp_min,tem_max,precipitacion,nieve,viento_dir,viento_vel,presion
10/15/2022,13.1,9.4,17.8,1.2,,98,13.1,1028.5
10/16/2022,14.4,7.9,20.9,0.3,,126,13.4,1024.2
10/17/2022,15,8.8,21.1,0,,119,19.6,1026.2
10/18/2022,18.5,13,24,0,,89,23.4,1023.9
10/19/2022,19.4,16.5,24.1,0.2,,86,14.4,1017.4
10/20/2022,20.8,16.6,26.4,4.3,,168,7.2,1010.2
10/21/2022,17.9,13.2,25.6,4.4,,165,12,1011.5
10/22/2022,12.4,9.6,27.2,14.7,,167,14.5,1021
10/23/2022,13.7,5.7,19.8,0,,109,12.4,1022.2
10/24/2022,19,13,25.2,0,,71,14.4,1018.1
10/25/2022,21.7,16.1,27.3,0,,71,15.9,1012.2
10/26/2022,19.9,16.8,28.5,2,,294,18.3,1004.1
10/27/2022,20.1,13.3,28,0,,271,16.2,1007.7
10/28/2022,24.6,15,32.9,0,,302,15.9,1005.4
10/29/2022,24,16.9,33.5,1.8,,126,12.4,1001.7
10/30/2022,15.7,9.2,31,0,,182,14.1,1008.6
10/31/2022,11.5,6,16.9,0,,208,13.6,1027.7
11/1/2022,13.9,3.1,23.1,0,,254,7.6,1030.6
11/2/2022,20.5,11.6,26.9,0,,16,9.2,1028.9
11/3/2022,19.6,9.3,28.1,0,,128,11.7,1027.5
11/4/2022,18.8,14.5,29.1,0,,69,19.4,1025.3
11/5/2022,19.7,15.9,24.8,0,,70,20.8,1023.4
11/6/2022,20.5,15.7,25.4,0,,70,21.6,1024
11/7/2022,20.9,16.4,26.1,0,,65,21.6,1023.9
11/8/2022,21,16.3,26.5,0,,58,19.6,1021
11/9/2022,21.7,16.6,26.8,0,,57,16.4,1015.6
11/10/2022,22.5,17.9,27.9,0,,79,14.4,1013.8
11/11/2022,23.2,15.3,29.8,0,,75,13.4,1012.4
11/12/2022,23.6,19.5,30.3,0,,92,12.4,1009.8
11/13/2022,22.3,17.1,28.6,7.2,,110,12.5,1005.5
11/14/2022,18.6,15.4,27.6,11.7,,237,18.5,1003.8
11/15/2022,22.9,12.3,31.8,0,,264,14,1010.8
11/16/2022,26.6,15,36,0,,354,9,1015.1
11/17/2022,26.6,20.5,36.6,0,,103,18.9,1017.2
11/18/2022,25.7,19.6,32.1,0,,83,16.9,1014
11/19/2022,28.1,24.3,33.5,0.3,,23,14.1,1008.6
11/20/2022,23.8,18.8,33.6,0,,158,11.8,1009.1
11/21/2022,16.7,13.9,28.3,0,,185,13.2,1014.3
11/22/2022,17.6,12.4,23.1,0,,215,10.7,1014.6
11/23/2022,23.1,13.3,31.2,0,,359,15.6,1010.7
11/24/2022,28,19.5,38,0,,297,12,1011.7
11/25/2022,22.3,13.9,38.6,0,,115,17.2,1019.3
11/26/2022,25.7,19.7,34.4,0,,83,16.5,1018.2
11/27/2022,26.8,21.7,35.6,0,,73,15.2,1017.8
11/28/2022,27.3,22.2,33.3,0,,58,17.7,1012.9
11/29/2022,28.5,24.1,33.7,0,,33,18.1,1007.1
11/30/2022,25.9,19.5,34.2,0,,121,13.6,1006.1
12/1/2022,19.9,17,32.6,41.9,,182,14.3,1010
12/2/2022,20.1,12.9,27.3,0,,154,10.2,1013.7
12/3/2022,21.7,14.7,28.9,0,,73,9.3,1011.7
12/4/2022,24.5,14.2,33.7,0,,115,9.5,1009.9
12/5/2022,28.9,22.4,35.4,0,,48,14.1,1011.1
12/6/2022,29.9,23.4,36.1,0,,30,15.3,1011.3
12/7/2022,29.4,25.3,36.8,0,,20,9.8,1009.3
12/8/2022,28.3,20.3,35.2,1.8,,212,9.2,1005.6
12/9/2022,29.1,19.8,37.9,18.1,,16,13,1004.8
12/10/2022,24.8,18.4,38.1,8.9,,105,14.8,1011.1
12/11/2022,27.9,19.7,37.1,0.3,,320,17.1,1006.1
12/12/2022,20.8,14.2,28.3,0.4,,163,10.9,1007.8
12/13/2022,20,11.5,29.1,0,,287,8.1,1011.7
12/14/2022,27.5,21.3,33,0,,14,13.6,1008.4
12/15/2022,24.2,15.4,34.1,5.1,,156,17.3,1014.2
12/16/2022,19.6,11.9,28.5,0,,118,15.5,1017.8
12/17/2022,19.9,12.1,25.8,0,,91,15,1014.7
12/18/2022,23.5,19.7,28.9,0,,72,19.6,1015.3
12/19/2022,25,20.1,29.7,0,,71,17.7,1015.9
12/20/2022,25.9,21.4,31.1,0,,73,20,1015.6
12/21/2022,25.6,20.4,32.1,0,,74,19.2,1015.3
12/22/2022,26.7,22.3,32.1,0,,65,20.2,1011.8
12/23/2022,24.4,20.8,32.6,0.5,,67,13,1009.9
12/24/2022,19.8,16.4,28.4,10.9,,192,13.7,1014.3
12/25/2022,17.3,10.1,23.7,0,,214,7.9,1018.5
12/26/2022,21.9,12.2,28.5,0,,316,7.8,1015
12/27/2022,25.8,18.7,31.7,0,,8,10.2,1010.9
12/28/2022,25.4,18.9,32.1,0.5,,181,14.4,1010.1
12/29/2022,22.5,12.4,30.4,0,,253,9.2,1013.7
12/30/2022,29.5,21.5,37.7,0,,356,15.1,1008.6
12/31/2022,27.1,17.5,38.1,0,,127,17.9,1012
1/1/2023,22,19.5,33.6,6.8,,147,12.9,1010.1
1/2/2023,22.7,16.6,29.3,0,,240,16.5,1007.7
1/3/2023,25.4,19.2,32.3,0,,306,18.4,1008
1/4/2023,23.2,12.4,32.7,0,,143,11.4,1013.4
1/5/2023,26.4,19.3,33.1,0,,56,14.4,1015.1
1/6/2023,28.2,23.1,34.4,0,,75,19.9,1016.8
1/7/2023,27.6,22.4,34.8,0,,69,22.6,1019.3
1/8/2023,26.9,22.3,34,0,,70,18.7,1018.3
1/9/2023,26.4,20.4,33.1,0,,73,19.5,1014.2
1/10/2023,27.2,21.9,34.6,0,,65,16.5,1010.8
1/11/2023,23.6,20,35.1,0,,195,9.7,1010.2
1/12/2023,22.7,16.8,30,0,,189,9.4,1009.8
1/13/2023,24,17.1,30.3,0,,221,12.2,1009.7
1/14/2023,25.7,14.3,33.3,0,,335,9.6,1009.5
1/15/2023,27.6,15.5,34.7,0,,54,10.7,1012.4
1/16/2023,30.2,24.8,36.7,0,,50,14.7,1012.3
1/17/2023,30.4,25.8,37.7,0,,68,21.6,1014.6
1/18/2023,26.6,22.4,37.5,0,,81,23.3,1017.8
1/19/2023,28.1,23.5,33.8,0,,76,19,1015.1
1/20/2023,26.6,20.7,34.6,0,,70,19.1,1008.6
1/21/2023,24.7,20.7,32.9,14,,269,10.8,1004.3
1/22/2023,26.5,19.3,34.5,0.2,,251,9.9,1006.3
1/23/2023,25.8,18,35.4,0,,138,8.9,1010.2
1/24/2023,28.1,22.3,33.5,2.2,,6,13.3,1007.8
1/25/2023,26.2,18.3,34.6,0.2,,159,11.8,1009.6
1/26/2023,27.7,21.6,34.8,0,,48,16.8,1008.1
1/27/2023,24.5,19.3,32.6,15,,81,12.8,1009.9
1/28/2023,25.3,19.3,32.7,0,,163,10.8,1014
1/29/2023,25.7,19.8,33.1,0,,124,14.6,1015.8
1/30/2023,23.9,16.3,32.7,0,,86,11.6,1011
1/31/2023,25.8,19.3,33.1,0.1,,128,11.7,1010.2
2/1/2023,24.8,19.3,33.1,0,,111,13.8,1013.4
2/2/2023,23.9,20.4,29.4,0,,135,13.1,1014.3
2/3/2023,23.4,19.3,30.1,0.7,,149,15,1015.6
2/4/2023,21.9,14.1,30.7,0.5,,172,11.1,1016.4
2/5/2023,24.7,15.3,32.1,0,,325,8.8,1012.2
2/6/2023,28.1,20.1,34.2,0,,352,12,1010.2
2/7/2023,29.3,23.7,36.2,0,,46,15.1,1010.2
2/8/2023,27.4,23.4,36.6,0.1,,82,11.6,1009
2/9/2023,27.8,19.4,36.4,0,,70,7.9,1010.3
2/10/2023,31,23.5,37.6,0,,15,10.8,1009.9
2/11/2023,32,24.2,38,0,,27,12.3,1008.8
2/12/2023,34.1,29.7,38.9,0,,11,18.2,1004.5
2/13/2023,28.3,21.6,39.6,0,,315,12.2,1003.7
2/14/2023,26.3,19.9,33.1,0,,248,9.3,1005.9
2/15/2023,24.1,15.4,33.6,0,,36,11,1006.7
2/16/2023,21.3,10.7,33.2,4.3,,212,13.4,1002.6
2/17/2023,10.6,6.7,15.7,0.3,,256,16.9,1012.2
2/18/2023,14.5,5.5,22.3,0,,283,12.2,1020
2/19/2023,20.4,13.7,26.4,0,,12,13.6,1020.1
2/20/2023,22.1,12.9,29.3,0,,59,12.3,1017.4
2/21/2023,24.4,19.3,30.6,0,,66,16.1,1015.2
2/22/2023,26.8,20.7,32.7,0.1,,26,16.3,1014.3
2/23/2023,26.1,16.8,33.1,0.8,,337,7.4,1013.3
2/24/2023,25,18.1,32.1,6.2,,164,8.4,1011.2
2/25/2023,24.7,17.5,34,0,,305,9.3,1005.4
2/26/2023,22.3,12.8,34.7,0,,138,12.3,1012.8
2/27/2023,24.2,18.1,31.9,0,,61,13.7,1017
2/28/2023,29.1,21.9,37.1,0,,40,12.9,1013.2
3/1/2023,31.5,25.9,37.5,13.7,,356,16.5,1008.9
3/2/2023,32,25.5,38.3,0,,323,12.9,1007.1
3/3/2023,31.1,24.3,39.1,0,,358,12,1006.2
3/4/2023,29.4,23.3,36.7,0.7,,85,15,1009.4
